#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
7.59   5   2.628   0.9654
7.6   5   2.631   0.9679
7.61   5   2.634   0.9704
7.62   5   2.638   0.9728
7.63   5   2.641   0.975
7.64   5   2.645   0.9772
7.65   5   2.648   0.9793
7.66   5   2.652   0.9812
7.67   5   2.657   0.9831
7.68   5   2.661   0.9849
7.69   5   2.666   0.9866
7.7   5   2.67   0.9882
7.71   5   2.675   0.9897
7.72   5   2.681   0.991
7.73   5   2.686   0.9923
7.74   5   2.691   0.9935
7.75   5   2.697   0.9946
7.76   5   2.703   0.9956
7.77   5   2.709   0.9965
7.78   5   2.715   0.9973
7.79   5   2.722   0.998
7.8   5   2.728   0.9985
